InitialNode,FinalNode,cc1,cc2,cc3,cc4
SanJose_500_kV,Montalvo_500_kV,0,0.0,0.0,0.0
SanJose_500_kV,SanJose_220_kV,0,0.0,0.0,0.0
SanJuan_220_kV,Balnearios_220_kV,0,0.0,0.0,0.0
SanJuan_220_kV,SanJuan_60_kV,0,0.0,0.0,0.0
SanJuan_60_kV,Pachacutec_60_kV,0,0.0,0.0,0.0
SanJuan_60_kV,Praderas_60_kV,0,0.0,0.0,0.0
SanMiguel_220_kV,SanMiguel_60_kV,0,0.0,0.0,0.0
SanRafael_138_kV,SanGaban_138_kV,0,0.0,0.0,0.0
San_Gaban_220_kV,Azangaro_220_kV,0,0.0,0.0,0.0
San_Gaban_220_kV,Onocora_220_kV,0,0.0,0.0,0.0
SantaLorenza_138_kV,Amarilis_138_kV,0,0.0,0.0,0.0
SantaRosaLDS_60_kV,Puente_60_kV,0,0.0,0.0,0.0
SantaRosa_220_kV,Industriales_220_kV,0,0.0,0.0,0.0
SantaRosa_220_kV,SantaRosaEDN_60_kV,0,0.0,0.0,0.0
SantaRosa_220_kV,SantaRosaLDS_60_kV,0,0.0,0.0,0.0
Santuario_138_kV,Callalli_138_kV,0,0.0,0.0,0.0
Santuario_138_kV,Socabaya_138_kV,0,0.0,0.0,0.0
Socabaya_138_kV,CerroVerde_138_kV,0,0.0,0.0,0.0
Socabaya_138_kV,Santuario_138_kV,0,0.0,0.0,0.0
Socabaya_220_kV,Moquegua_220_kV,0,0.0,0.0,0.0
Socabaya_220_kV,Socabaya_138_kV,0,0.0,0.0,0.0
Socabaya_220_kV,Yarabamba_220_kV,0,0.0,0.0,0.0
Suriray_220_kV,Abancay_220_kV,0,0.0,0.0,0.0
Suriray_220_kV,Cotaruse_220_kV,0,0.0,0.0,0.0
Suriray_220_kV,Kayra_220_kV,0,0.0,0.0,0.0
Suriray_220_kV,Suriray_138_kV,0,0.10204197745925045,0.4197966454912039,0.025561164486169102
Talara_220_kV,Parinhas_220_kV,0,0.0,0.0,0.0
Tambo40_500_kV,Tambo60_500_kV,0,0.0,0.0,0.0
Tarapoto_138_kV,Moyobamba_138_kV,0,0.0,0.0,0.0
TingoMariaN_220_kV,Chaglla_220_kV,0,0.0,0.0,0.0
TingoMariaN_220_kV,Huanuco_220_kV,0,0.0,0.0,0.0
TingoMaria_138_kV,Aucayacu_138_kV,0,0.0,0.0,0.0
TingoMaria_220_kV,Huanuco_220_kV,0,0.0,0.0,0.0
TingoMaria_220_kV,TingoMariaN_220_kV,0,0.0,0.0,0.0
TingoMaria_220_kV,TingoMaria_138_kV,0,0.0,0.0,0.0
Tintaya_138_kV,Ayaviri_138_kV,0,0.0,0.0,0.0
Tintaya_138_kV,Combapata_138_kV,0,0.0,0.0,0.0
Tintaya_220_kV,Azangaro_220_kV,0,0.0,0.0,0.0
Tintaya_220_kV,Constancia_220_kV,0,0.0,0.0,0.0
Tintaya_220_kV,Socabaya_220_kV,0,0.0,0.0,0.0
Tintaya_220_kV,Tintaya_138_kV,0,0.0,0.0,0.0
Tocache_138_kV,Bellavista_138_kV,0,0.0,0.0,0.0
Tocache_500_kV,Celendin_500_kV,0,0.0,0.0,0.0
