Period,Scenario,LoadLevel,Area1
2020,sc01,01-18 09:00:00+01:00,18.732118
2020,sc01,01-18 10:00:00+01:00,18.6943863
2020,sc01,01-18 11:00:00+01:00,18.49971126
2020,sc01,01-18 12:00:00+01:00,18.40289759
2020,sc01,01-18 13:00:00+01:00,18.24466199
2020,sc01,01-18 14:00:00+01:00,18.1991112
2020,sc01,01-18 15:00:00+01:00,18.47957714
2020,sc01,01-18 16:00:00+01:00,18.86500411
2020,sc01,01-18 17:00:00+01:00,19.0338935
2020,sc01,01-18 18:00:00+01:00,18.44886005
2020,sc01,01-18 19:00:00+01:00,17.67287579
2020,sc01,01-18 20:00:00+01:00,16.7600449
2020,sc01,01-18 21:00:00+01:00,15.89932374
2020,sc01,01-18 22:00:00+01:00,14.96638223
2020,sc01,01-18 23:00:00+01:00,14.13648074
2020,sc01,01-19 00:00:00+01:00,13.68104103
2020,sc01,01-19 01:00:00+01:00,13.34648049
2020,sc01,01-19 02:00:00+01:00,13.20311168
2020,sc01,01-19 03:00:00+01:00,13.27509508
2020,sc01,01-19 04:00:00+01:00,14.03231856
2020,sc01,01-19 05:00:00+01:00,15.50253844
2020,sc01,01-19 06:00:00+01:00,16.91380839
2020,sc01,01-19 07:00:00+01:00,17.79682461
2020,sc01,01-19 08:00:00+01:00,18.0750621
2020,sc01,01-19 09:00:00+01:00,18.22035226
2020,sc01,01-19 10:00:00+01:00,18.12028428
2020,sc01,01-19 11:00:00+01:00,17.85645161
2020,sc01,01-19 12:00:00+01:00,17.66987959
2020,sc01,01-19 13:00:00+01:00,17.46617097
2020,sc01,01-19 14:00:00+01:00,17.40136335
2020,sc01,01-19 15:00:00+01:00,17.80332993
2020,sc01,01-19 16:00:00+01:00,18.39098828
2020,sc01,01-19 17:00:00+01:00,18.61959302
2020,sc01,01-19 18:00:00+01:00,18.04131209
2020,sc01,01-19 19:00:00+01:00,17.27624304
2020,sc01,01-19 20:00:00+01:00,16.46402518
2020,sc01,01-19 21:00:00+01:00,15.75707147
2020,sc01,01-19 22:00:00+01:00,14.90823645
2020,sc01,01-19 23:00:00+01:00,14.05375785
2020,sc01,01-20 00:00:00+01:00,13.53632304
2020,sc01,01-20 01:00:00+01:00,13.11527302
2020,sc01,01-20 02:00:00+01:00,12.83307635
2020,sc01,01-20 03:00:00+01:00,12.69321898
2020,sc01,01-20 04:00:00+01:00,12.80840658
2020,sc01,01-20 05:00:00+01:00,13.38861316
2020,sc01,01-20 06:00:00+01:00,14.17620858
2020,sc01,01-20 07:00:00+01:00,14.9549789
2020,sc01,01-20 08:00:00+01:00,15.59982036
2020,sc01,01-20 09:00:00+01:00,16.03206457
2020,sc01,01-20 10:00:00+01:00,16.06580168
2020,sc01,01-20 11:00:00+01:00,15.91516477
2020,sc01,01-20 12:00:00+01:00,15.56543398
2020,sc01,01-20 13:00:00+01:00,15.29589021
2020,sc01,01-20 14:00:00+01:00,15.21120791
2020,sc01,01-20 15:00:00+01:00,15.62457485
2020,sc01,01-20 16:00:00+01:00,16.3249008
2020,sc01,01-20 17:00:00+01:00,16.81144942
2020,sc01,01-20 18:00:00+01:00,16.45675278
2020,sc01,01-20 19:00:00+01:00,15.89255931
2020,sc01,01-20 20:00:00+01:00,15.35818281
2020,sc01,01-20 21:00:00+01:00,14.82397906
2020,sc01,01-20 22:00:00+01:00,14.17763917
2020,sc01,01-20 23:00:00+01:00,13.47880039
2020,sc01,01-21 00:00:00+01:00,13.076074
2020,sc01,01-21 01:00:00+01:00,12.67569155
2020,sc01,01-21 02:00:00+01:00,12.35500603
2020,sc01,01-21 03:00:00+01:00,12.1467644
2020,sc01,01-21 04:00:00+01:00,12.05361506
2020,sc01,01-21 05:00:00+01:00,12.25066614
2020,sc01,01-21 06:00:00+01:00,12.62491216
2020,sc01,01-21 07:00:00+01:00,13.17275067
2020,sc01,01-21 08:00:00+01:00,13.8538168
2020,sc01,01-21 09:00:00+01:00,14.47204696
2020,sc01,01-21 10:00:00+01:00,14.73499573
2020,sc01,01-21 11:00:00+01:00,14.73184765
2020,sc01,01-21 12:00:00+01:00,14.46313748
2020,sc01,01-21 13:00:00+01:00,14.28370483
2020,sc01,01-21 14:00:00+01:00,14.27274824
2020,sc01,01-21 15:00:00+01:00,14.7811445
2020,sc01,01-21 16:00:00+01:00,15.71720596
2020,sc01,01-21 17:00:00+01:00,16.38550436
2020,sc01,01-21 18:00:00+01:00,16.35398941
2020,sc01,01-21 19:00:00+01:00,16.0480479
2020,sc01,01-21 20:00:00+01:00,15.65945531
2020,sc01,01-21 21:00:00+01:00,15.12439777
2020,sc01,01-21 22:00:00+01:00,14.40083594
2020,sc01,01-21 23:00:00+01:00,13.70749515
2020,sc01,01-22 00:00:00+01:00,13.38972606
2020,sc01,01-22 01:00:00+01:00,13.15931182
2020,sc01,01-22 02:00:00+01:00,13.03227877
2020,sc01,01-22 03:00:00+01:00,13.25757791
2020,sc01,01-22 04:00:00+01:00,14.1999286
2020,sc01,01-22 05:00:00+01:00,15.81350901
2020,sc01,01-22 06:00:00+01:00,17.37482782
2020,sc01,01-22 07:00:00+01:00,18.33787288
2020,sc01,01-22 08:00:00+01:00,18.73197967
2020,sc01,01-22 09:00:00+01:00,18.9295513
