Scenario,Period,LoadLevel,ES112,ES21,ES300,ES418,ES432,ES511,ES523,ES611,ES612,ES618,ES620
sc2015,y2030,2030-07-05T07:00:00+02:00,68.48162728437813,68.48162728437813,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437813,68.48162728437815
sc2015,y2030,2030-07-05T11:00:00+02:00,66.25,66.25,66.24999999999999,66.25,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997
sc2015,y2030,2030-07-05T15:00:00+02:00,48.621955371908484,48.62195537190847,48.62195537190847,48.621955371908484,48.62195537190847,48.62195537190847,48.62195537190847,48.62195537190847,48.62195537190846,48.62195537190846,48.62195537190847
sc2015,y2030,2030-07-05T19:00:00+02:00,67.46951219512192,67.46951219512195,67.46951219512195,67.46951219512192,67.46951219512195,67.46951219512195,67.46951219512195,67.46951219512195,67.46951219512192,67.46951219512192,67.46951219512195
sc2015,y2030,2030-07-05T23:00:00+02:00,68.48162728437819,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782
sc2015,y2030,2030-07-06T03:00:00+02:00,66.60611312472533,66.60611312472528,66.60611312472528,66.60611312472533,66.60611312472528,66.60611312472528,66.60611312472527,66.60611312472527,66.60611312472527,66.60611312472527,66.60611312472527
sc2015,y2030,2030-07-06T07:00:00+02:00,68.48162728437819,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782
sc2015,y2030,2030-07-06T11:00:00+02:00,68.48162728437813,68.48162728437813,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437813,68.48162728437815
sc2015,y2030,2030-07-06T15:00:00+02:00,66.25,66.25,66.25,66.25,66.24999999999999,66.25,66.24999999999999,66.24999999999999,66.24999999999999,66.24999999999999,66.24999999999999
sc2015,y2030,2030-07-06T19:00:00+02:00,68.48162728437832,68.48162728437809,68.48162728437819,68.48162728437832,68.48162728437819,68.48162728437809,68.48162728437815,68.48162728437815,68.48162728437818,68.48162728437818,68.48162728437815
sc2015,y2030,2030-07-06T23:00:00+02:00,68.48162728437815,68.48162728437809,68.48162728437809,68.48162728437815,68.48162728437819,68.48162728437809,68.48162728437792,68.48162728437792,68.48162728437792,68.48162728437792,68.48162728437792
sc2015,y2030,2030-07-07T03:00:00+02:00,68.48162728437819,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782
sc2015,y2030,2030-07-07T07:00:00+02:00,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437813,68.48162728437813,68.48162728437813,68.48162728437813,68.48162728437813
sc2015,y2030,2030-07-07T11:00:00+02:00,68.48162728437832,68.48162728437809,68.48162728437819,68.48162728437832,68.48162728437819,68.48162728437809,68.48162728437815,68.48162728437815,68.48162728437818,68.48162728437818,68.48162728437815
sc2015,y2030,2030-07-07T15:00:00+02:00,67.82892790556954,69.48025385960104,68.00713831588202,67.82892790556954,67.95664449204052,68.48162728437809,68.13549867616226,68.06455775719348,67.99921743709066,67.98801623935877,68.08696015265731
