,,,Nuclear,DomesticCoal_Anthracite,BrownLignite,ImportedCoal_SubBituminous,ImportedCoal_Bituminous,CCGT_1,CCGT_2,CCGT_3,CCGT_4,OCGT_1,OCGT_2,OCGT_3,FuelOilGas,WindFarm_1,SolarPV_1,ESS1
2030,sc01,01-09 17:00:00+01:00,,,,,,,,,,,,,,75.8559,11.31525,
2030,sc01,01-09 18:00:00+01:00,,,,,,,,,,,,,,82.4599,0.113625,
2030,sc01,01-09 19:00:00+01:00,,,,,,,,,,,,,,89.43635,0.000001,
2030,sc01,01-09 20:00:00+01:00,,,,,,,,,,,,,,93.2105,0.000001,
2030,sc01,01-09 21:00:00+01:00,,,,,,,,,,,,,,95.5882,0.000001,
2030,sc01,01-09 22:00:00+01:00,,,,,,,,,,,,,,89.613375,0.000001,
2030,sc01,01-09 23:00:00+01:00,,,,,,,,,,,,,,87.744925,0.000001,
2030,sc01,01-10 00:00:00+01:00,,,,,,,,,,,,,,89.482475,0.000001,
2030,sc01,01-10 01:00:00+01:00,,,,,,,,,,,,,,92.657075,0.000001,
2030,sc01,01-10 02:00:00+01:00,,,,,,,,,,,,,,99.43355,0.000001,
2030,sc01,01-10 03:00:00+01:00,,,,,,,,,,,,,,102.714525,0.000001,
2030,sc01,01-10 04:00:00+01:00,,,,,,,,,,,,,,105.775125,0.000001,
2030,sc01,01-10 05:00:00+01:00,,,,,,,,,,,,,,113.571575,0.000001,
2030,sc01,01-10 06:00:00+01:00,,,,,,,,,,,,,,121.727175,0.000001,
2030,sc01,01-10 07:00:00+01:00,,,,,,,,,,,,,,127.641025,0.0431,
2030,sc01,01-10 08:00:00+01:00,,,,,,,,,,,,,,126.076325,1.0758,
2030,sc01,01-10 09:00:00+01:00,,,,,,,,,,,,,,115.59275,20.496525,
2030,sc01,01-10 10:00:00+01:00,,,,,,,,,,,,,,98.50175,50.3979,
2030,sc01,01-10 11:00:00+01:00,,,,,,,,,,,,,,77.772225,66.369775,
2030,sc01,01-10 12:00:00+01:00,,,,,,,,,,,,,,67.175675,72.874675,
2030,sc01,01-10 13:00:00+01:00,,,,,,,,,,,,,,54.530475,74.03335,
2030,sc01,01-10 14:00:00+01:00,,,,,,,,,,,,,,51.231975,70.35665,
2030,sc01,01-10 15:00:00+01:00,,,,,,,,,,,,,,53.1518,60.7939,
2030,sc01,01-10 16:00:00+01:00,,,,,,,,,,,,,,52.0839,39.431875,
2030,sc01,01-10 17:00:00+01:00,,,,,,,,,,,,,,68.063825,10.1868,
2030,sc01,01-10 18:00:00+01:00,,,,,,,,,,,,,,88.84,0.073225,
2030,sc01,01-10 19:00:00+01:00,,,,,,,,,,,,,,102.04805,0.000001,
2030,sc01,01-10 20:00:00+01:00,,,,,,,,,,,,,,113.13175,0.000001,
2030,sc01,01-10 21:00:00+01:00,,,,,,,,,,,,,,122.635975,0.000001,
2030,sc01,01-10 22:00:00+01:00,,,,,,,,,,,,,,127.621175,0.000001,
2030,sc01,01-10 23:00:00+01:00,,,,,,,,,,,,,,135.635025,0.000001,
2030,sc01,01-11 00:00:00+01:00,,,,,,,,,,,,,,140.920575,0.000001,
2030,sc01,01-11 01:00:00+01:00,,,,,,,,,,,,,,140.472175,0.000001,
2030,sc01,01-11 02:00:00+01:00,,,,,,,,,,,,,,151.606825,0.000001,
2030,sc01,01-11 03:00:00+01:00,,,,,,,,,,,,,,165.65245,0.000001,
2030,sc01,01-11 04:00:00+01:00,,,,,,,,,,,,,,180.980075,0.000001,
2030,sc01,01-11 05:00:00+01:00,,,,,,,,,,,,,,192.952125,0.000001,
2030,sc01,01-11 06:00:00+01:00,,,,,,,,,,,,,,194.212125,0.000001,
2030,sc01,01-11 07:00:00+01:00,,,,,,,,,,,,,,202.3392,0.043025,
2030,sc01,01-11 08:00:00+01:00,,,,,,,,,,,,,,209.49255,0.8661,
2030,sc01,01-11 09:00:00+01:00,,,,,,,,,,,,,,206.46595,16.484525,
2030,sc01,01-11 10:00:00+01:00,,,,,,,,,,,,,,198.2858,42.051725,
2030,sc01,01-11 11:00:00+01:00,,,,,,,,,,,,,,186.18795,59.0604,
2030,sc01,01-11 12:00:00+01:00,,,,,,,,,,,,,,175.128575,66.5743,
2030,sc01,01-11 13:00:00+01:00,,,,,,,,,,,,,,167.652375,69.8757,
2030,sc01,01-11 14:00:00+01:00,,,,,,,,,,,,,,155.5703,67.88845,
2030,sc01,01-11 15:00:00+01:00,,,,,,,,,,,,,,142.70555,59.224225,
2030,sc01,01-11 16:00:00+01:00,,,,,,,,,,,,,,135.005275,37.934825,
2030,sc01,01-11 17:00:00+01:00,,,,,,,,,,,,,,125.976425,10.2454,
2030,sc01,01-11 18:00:00+01:00,,,,,,,,,,,,,,123.171725,0.1183,
2030,sc01,01-11 19:00:00+01:00,,,,,,,,,,,,,,116.3335,0.000001,
2030,sc01,01-11 20:00:00+01:00,,,,,,,,,,,,,,110.2303,0.000001,
2030,sc01,01-11 21:00:00+01:00,,,,,,,,,,,,,,100.9032,0.000001,
2030,sc01,01-11 22:00:00+01:00,,,,,,,,,,,,,,90.6691,0.000001,
2030,sc01,01-11 23:00:00+01:00,,,,,,,,,,,,,,91.578975,0.000001,
2030,sc01,01-12 00:00:00+01:00,,,,,,,,,,,,,,95.14175,0.000001,
2030,sc01,01-12 01:00:00+01:00,,,,,,,,,,,,,,98.302175,0.000001,
2030,sc01,01-12 02:00:00+01:00,,,,,,,,,,,,,,104.344,0.000001,
