Scenario,Period,LoadLevel,FR00
sc2025,y2025,2025-01-28T07:00:00+01:00,0
sc2025,y2025,2025-01-28T09:00:00+01:00,0
sc2025,y2025,2025-01-28T11:00:00+01:00,0
sc2025,y2025,2025-01-28T13:00:00+01:00,0
sc2025,y2025,2025-01-28T15:00:00+01:00,0
sc2025,y2025,2025-01-28T17:00:00+01:00,0
sc2025,y2025,2025-01-28T19:00:00+01:00,0
sc2025,y2025,2025-01-28T21:00:00+01:00,0
sc2025,y2025,2025-01-28T23:00:00+01:00,0
sc2025,y2025,2025-01-29T01:00:00+01:00,0
sc2025,y2025,2025-01-29T03:00:00+01:00,0
sc2025,y2025,2025-01-29T05:00:00+01:00,0
sc2025,y2025,2025-01-29T07:00:00+01:00,0
sc2025,y2025,2025-01-29T09:00:00+01:00,0
sc2025,y2025,2025-01-29T11:00:00+01:00,0
sc2025,y2025,2025-01-29T13:00:00+01:00,0
sc2025,y2025,2025-01-29T15:00:00+01:00,0
sc2025,y2025,2025-01-29T17:00:00+01:00,0
sc2025,y2025,2025-01-29T19:00:00+01:00,0
sc2025,y2025,2025-01-29T21:00:00+01:00,0
sc2025,y2025,2025-01-29T23:00:00+01:00,0
sc2025,y2025,2025-01-30T01:00:00+01:00,0
sc2025,y2025,2025-01-30T03:00:00+01:00,0
sc2025,y2025,2025-01-30T05:00:00+01:00,0
sc2025,y2025,2025-01-30T07:00:00+01:00,0
sc2025,y2025,2025-01-30T09:00:00+01:00,0
sc2025,y2025,2025-01-30T11:00:00+01:00,0
sc2025,y2025,2025-01-30T13:00:00+01:00,0
sc2025,y2025,2025-01-30T15:00:00+01:00,0
sc2025,y2025,2025-01-30T17:00:00+01:00,0
sc2025,y2025,2025-01-30T19:00:00+01:00,0
sc2025,y2025,2025-01-30T21:00:00+01:00,0
sc2025,y2025,2025-01-30T23:00:00+01:00,0
sc2025,y2025,2025-01-31T01:00:00+01:00,0
sc2025,y2025,2025-01-31T03:00:00+01:00,0
sc2025,y2025,2025-01-31T05:00:00+01:00,0
sc2025,y2025,2025-01-31T07:00:00+01:00,0
sc2025,y2025,2025-01-31T09:00:00+01:00,0
sc2025,y2025,2025-01-31T11:00:00+01:00,0
sc2025,y2025,2025-01-31T13:00:00+01:00,0
sc2025,y2025,2025-01-31T15:00:00+01:00,0
sc2025,y2025,2025-01-31T17:00:00+01:00,0
sc2025,y2025,2025-01-31T19:00:00+01:00,0
sc2025,y2025,2025-01-31T21:00:00+01:00,0
