Scenario,Period,LoadLevel,AL00,AT00,BA00,BE00,BG00,CH00,CY00,CZ00,DE00,DEKF,DKE1,DKKF,DKW1,EE00,ES00,FI00,FR00,FR15,GR00,GR03,HR00,HU00,IE00,ITCN,ITCO,ITCS,ITN1,ITS1,ITSA,ITSC,ITSI,LT00,LUB1,LUF1,LUG1,LUV1,LV00,ME00,MK00,MT00,NL00,NOM0,NOM1,NON0,NON1,NOS0,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TR00,UA01,UK00,UKNI
sc2025,y2025,2025-01-05T19:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,53.16123230499997,78.68645796499987,0,0,0,0,0,0,0,0,3520.3052681999957,0,2251.0350999499974,5600.52976336004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-05T21:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,56.25200162499998,107.05761314999987,0,0,0,0,0,0,0,0,3435.2892015999964,0,2018.259281199998,4823.922157360035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-05T23:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,60.063950449999986,107.73227140499986,0,0,0,0,0,0,0,0,3193.7645896999957,0,1801.8979473499987,3454.7083263600384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-06T01:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,59.13671965499999,106.80905489999985,0,0,0,0,0,0,0,0,2777.2097280499966,0,0.0,2723.920009360033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-06T03:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,65.11220700499999,81.77568261499985,0,0,0,0,0,0,0,0,2760.4266419999963,0,0.0,2368.9563893600352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-06T05:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,64.59707878499998,39.91136225499983,0,0,0,0,0,0,0,0,2832.312746499997,0,1865.6854080999997,2289.937522360033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-06T07:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,54.50056567499999,46.08981156999983,0,0,0,0,0,0,0,0,3100.9592809999967,0,1971.5005961999989,3707.357117360033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-06T09:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,57.48830934999999,56.03214379999983,0,0,0,0,0,0,0,0,0.0,0,1990.093843099999,5008.445000760032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-06T11:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,57.90041192499999,83.48008243499982,0,0,0,0,0,0,0,0,3235.520711849996,0,1973.5937695999994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-06T13:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,64.08195056499999,96.79570595999981,0,0,0,0,0,0,0,0,3236.529498224996,0,0.0,5216.237894705031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
