,,,ES00,ES11,ES12,ES13,ES21,ES22,ES23,ES24,ES30,ES41,ES42,ES43,ES51,ES52,ES61,ES62
sc2015,y2030,2030-01-05T05:00:00+01:00,,1596.184814,816.0585533,363.7780102,1415.152544,447.3822018,147.8855061,937.0512141,2463.617301,1232.166177,1052.328445,431.0089713,4070.869776,2364.996033,3452.956077,819.9643754
sc2015,y2030,2030-01-05T06:00:00+01:00,,1747.786698,893.5658775,398.328791,1549.560408,489.8735123,161.9313241,1026.050137,2697.605885,1349.194425,1152.276129,471.9451909,4457.511424,2589.6178,3780.909733,897.8426654
sc2015,y2030,2030-01-05T07:00:00+01:00,,1978.764273,1011.654475,450.9696643,1754.341522,554.6124167,183.3312493,1161.647103,3054.106176,1527.496307,1304.554406,534.3147901,5046.590848,2931.846998,4280.573315,1016.496459
sc2015,y2030,2030-01-05T08:00:00+01:00,,2152.265191,1100.357805,490.5113379,1908.164728,603.241637,199.4059988,1263.502003,3321.89463,1661.429396,1418.939626,581.164285,5489.083245,3188.91559,4655.900186,1105.624341
sc2015,y2030,2030-01-05T09:00:00+01:00,,2311.038732,1181.531679,526.6965729,2048.930871,647.7430353,214.1162662,1356.711097,3566.952244,1783.993766,1523.61542,624.0370274,5894.015306,3424.163282,4999.36797,1187.18673
sc2015,y2030,2030-01-05T10:00:00+01:00,,2438.983749,1246.944296,555.8558429,2162.364927,683.6037471,225.9702906,1431.822094,3764.427847,1882.760226,1607.966668,658.585314,6220.323075,3613.733723,5276.145773,1252.912425
sc2015,y2030,2030-01-05T11:00:00+01:00,,2407.283696,1230.737464,548.6312521,2134.260155,674.7187864,223.0333009,1413.212362,3715.500682,1858.289543,1587.067542,650.0255238,6139.476054,3566.765165,5207.57045,1236.628024
sc2015,y2030,2030-01-05T12:00:00+01:00,,2365.686609,1209.470717,539.1510807,2097.380827,663.059863,219.1793572,1388.792507,3651.298026,1826.178898,1559.643526,638.7932921,6033.387885,3505.132612,5117.585309,1215.25949
sc2015,y2030,2030-01-05T13:00:00+01:00,,2349.445133,1201.16717,535.4495721,2082.981387,658.5076662,217.6745948,1379.257837,3626.230264,1813.641379,1548.935889,634.4076959,5991.966031,3481.068339,5082.450841,1206.916201
sc2015,y2030,2030-01-05T14:00:00+01:00,,2275.660527,1163.444372,518.6337141,2017.565107,637.8271541,210.8384981,1335.94208,3512.348068,1756.683754,1500.291372,614.4840462,5803.78762,3371.744971,4922.835864,1169.012853
sc2015,y2030,2030-01-05T15:00:00+01:00,,2213.146723,1131.483834,504.3865248,1962.141344,620.3056471,205.046634,1299.242923,3415.861691,1708.426563,1459.077439,597.6037889,5644.353979,3279.121048,4787.602514,1136.899346
sc2015,y2030,2030-01-05T16:00:00+01:00,,2169.370811,1109.10315,494.409789,1923.330304,608.036038,200.9908236,1273.543975,3348.296148,1674.633987,1430.216973,585.7832212,5532.70899,3214.260227,4692.904018,1114.411544
sc2015,y2030,2030-01-05T17:00:00+01:00,,2178.3003,1113.668402,496.4448613,1931.247049,610.5388147,201.818135,1278.786092,3362.078288,1681.527057,1436.103982,588.1944016,5555.482534,3227.490653,4712.220786,1118.998645
sc2015,y2030,2030-01-05T18:00:00+01:00,,2285.889925,1168.674209,520.9650418,2026.634331,640.6942721,211.7862452,1341.947317,3528.136541,1764.580282,1507.035382,617.2462339,5829.876419,3386.901414,4944.964667,1174.267721
sc2015,y2030,2030-01-05T19:00:00+01:00,,2326.563781,1189.468949,530.2348045,2062.695138,652.0944303,215.5546521,1365.825183,3590.914243,1795.978244,1533.850733,628.2291707,5933.610003,3447.166057,5032.952623,1195.161989
